Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",5,3.92,Penguin Classics,Paperback,244,2006,1876,,2020/06/18,,,read,,,,1,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",5,4.09,Bethany House Publishers ,Paperback,184,1999,1843,,2020/06/18,,,read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg","=""0521618746""","=""9780521618748""",5,4.02,Cambridge University Press,Paperback,289,2005,1601,,2020/06/18,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",0,4.12,Ember,Paperback,208,2006,1993,,2020/06/18,to-read,to-read (#43),to-read,,,,0,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",4,4.57,Scholastic,Paperback,734,2002,2000,,2020/06/18,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2020/06/18,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2020/06/18,,,read,,,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",4,4.02,Norton,Paperback,488,1986,1897,,2020/06/18,,,read,,,,1,0
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",0,4.30,Bantam Books,Paperback,289,1993,1969,,2020/06/18,to-read,to-read (#42),to-read,,,,0,0
12204,The Road Not Taken and Other Poems,Robert Frost,"Frost, Robert",,"=""0486275507""","=""9780486275505""",0,4.27,"Dover Publications, Incorporated",Paperback,49,2016,1916,,2020/06/18,to-read,to-read (#41),to-read,,,,0,0
11627,The Colossus and Other Poems,Sylvia Plath,"Plath, Sylvia",,"=""0375704469""","=""9780375704468""",0,4.17,Vintage,Paperback,84,1998,1960,,2020/06/18,to-read,to-read (#40),to-read,,,,0,0
112200,Selected Poems,Emily Dickinson,"Dickinson, Emily",,"=""0517206064""","=""9780517206065""",0,4.18,Bell,Hardcover,256,1993,1890,,2020/06/18,to-read,to-read (#39),to-read,,,,0,0
12914,The Aeneid,Virgil,"Virgil, Virgil","Robert Fitzgerald, David   West","=""0679729526""","=""9780679729525""",0,3.87,Vintage,Paperback,442,1990,-19,,2020/06/18,to-read,to-read (#38),to-read,,,,0,0
13588404,A Thousand Mornings: Poems,Mary Oliver,"Oliver, Mary",,"=""1594204772""","=""9781594204777""",0,4.20,Penguin Press,Hardcover,82,2012,2012,,2020/06/18,to-read,to-read (#37),to-read,,,,0,0
31426,The Collected Poems,Sylvia Plath,"Plath, Sylvia",,"=""0808595040""","=""9780808595045""",0,4.25,Turtleback,Library Binding,349,1981,1981,,2020/06/18,to-read,to-read (#36),to-read,,,,0,0
15645,Inferno,Dante Alighieri,"Alighieri, Dante",Anthony Esolen,"=""0812970063""","=""9780812970067""",0,4.03,Modern Library,Kindle Edition,490,2022,1320,,2020/06/18,to-read,to-read (#35),to-read,,,,0,0
95819,The Poetry of Robert Frost,Robert Frost,"Frost, Robert","Edward Connery Lathem, Edward Connery Latham","=""0805005013""","=""9780805005011""",0,4.24,Henry Holt & Company,Paperback,607,1979,1969,,2020/06/18,to-read,to-read (#34),to-read,,,,0,0
23919,The Complete Stories and Poems,Edgar Allan Poe,"Poe, Edgar Allan",,"=""0385074077""","=""9780385074070""",0,4.40,"Doubleday & Company, Inc.",Hardcover,821,1984,1849,,2020/06/18,to-read,to-read (#33),to-read,,,,0,0
400412,The Waste Land and Other Poems,T.S. Eliot,"Eliot, T.S.",,"=""""","=""""",0,4.22,Harcourt Brace Jovanovich,Paperback,88,1958,1922,,2020/06/18,to-read,to-read (#32),to-read,,,,0,0
42038,Shakespeare's Sonnets,William Shakespeare,"Shakespeare, William",Katherine Duncan-Jones,"=""1903436575""","=""9781903436578""",0,4.25,Bloomsbury Arden Shakespeare,Paperback,488,1997,1609,,2020/06/18,to-read,to-read (#31),to-read,,,,0,0
33151805,Into the Water,Paula Hawkins,"Hawkins, Paula",,"=""0735211205""","=""9780735211209""",4,3.59,Riverhead Books,Hardcover,386,2017,2017,,2020/06/18,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",0,4.13,William Morrow Paperbacks,Paperback,176,2006,2002,,2020/06/18,to-read,to-read (#30),to-read,,,,0,0
52892857,The Color Purple,Alice Walker,"Walker, Alice",,"=""0143135694""","=""9780143135692""",0,4.27,Penguin Books,Paperback,287,2019,1982,,2020/06/18,to-read,to-read (#29),to-read,,,,0,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",3,3.92,HarperOne,Paperback,182,2014,1988,,2020/06/18,,,read,,,,1,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""0385751079""","=""9780385751070""",0,4.16,David Fickling Books,Hardcover,224,2006,2006,,2020/06/18,to-read,to-read (#28),to-read,,,,0,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",3,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,,2020/06/18,,,read,,,,1,0
32552,The Essential Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,"Poe, Edgar Allan",Benjamin Franklin Fisher,"=""1593080646""","=""9781593080648""",0,4.36,Barnes & Noble Classics,Paperback,688,2004,1843,,2020/06/18,to-read,to-read (#27),to-read,,,,0,0
15997,Paradise Lost,John Milton,"Milton, John",,"=""0140424393""","=""9780140424393""",0,3.85,Penguin Classics,Paperback,453,2003,1667,,2020/06/18,to-read,to-read (#26),to-read,,,,0,0
17184,The Invisible Man,H.G. Wells,"Wells, H.G.",Scott Westerfeld,"=""0451528522""","=""9780451528520""",0,3.63,New American Library/Penguin Books,Mass Market Paperback,192,2002,1897,,2020/06/18,to-read,to-read (#25),to-read,,,,0,0
32559,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,"Poe, Edgar Allan",Stephen Marlowe,"=""0451526759""","=""9780451526755""",0,4.17,Signet Classics,Paperback,400,1998,1960,,2020/06/18,to-read,to-read (#24),to-read,,,,0,0
18521,A Room of One’s Own,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",0,4.22,Penguin Books,Paperback,112,2000,1929,,2020/06/18,to-read,to-read (#23),to-read,,,,0,0
14940,Who's Afraid of Virginia Woolf?,Edward Albee,"Albee, Edward",,"=""0451218590""","=""9780451218599""",0,4.06,Berkley,Paperback,272,2006,1962,,2020/06/18,to-read,to-read (#22),to-read,,,,0,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",0,3.96,Speak,Paperback,221,2006,2005,,2020/06/18,to-read,to-read (#21),to-read,,,,0,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",3,3.81,Scribner,Hardcover,96,1996,1952,,2020/06/18,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",5,4.13,Random House: Modern Library,Paperback,272,2004,1890,,2020/06/18,,,read,,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""0143131842""","=""9780143131847""",5,3.89,Penguin Classics,Paperback,260,2018,1818,,2020/06/18,,,read,,,,1,0
58696,David Copperfield,Charles Dickens,"Dickens, Charles","Edward Killoran Brown, Jeremy Tambling, Phiz","=""""","=""""",0,4.04,Penguin ,Paperback,882,2004,1850,,2020/06/18,to-read,to-read (#20),to-read,,,,0,0
12996,Othello,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""""","=""""",0,3.89,Simon & Schuster,Mass Market Paperback,319,2003,1603,,2020/06/18,to-read,to-read (#19),to-read,,,,0,0
1371,The Iliad,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0140275363""","=""9780140275360""",0,3.92,Penguin Classics,Paperback,614,1999,-800,,2020/06/18,to-read,to-read (#18),to-read,,,,0,0
